OMOP	SPOKE
18809	C0032343
18255	C0032343
17767	C0032343
45546514	C0032343
18877	C0032343
45551393	C0032343
18147	C0032343
19041	C0032343
45560893	C0032343
18873	C0032343
18435	C0032343
18009	C0032343
18225	C0032343
45585165	C0032343
18777	C0032343
45541520	C0032343
18857	C0032343
45599437	C0032343
45594776	C0032343
18345	C0032343
45575258	C0032343
45575326	C0032343
45575483	C0032343
45560770	C0032343
45585096	C0032343
45560681	C0032343
45589889	C0032343
19101	C0032343
18303	C0032343
45541726	C0032343
18677	C0032343
18393	C0032343
45589979	C0032343
19057	C0032343
45536871	C0032343
45589927	C0032343
45575405	C0032343
45536821	C0032343
45565747	C0032343
45604281	C0032343
18825	C0032343
18111	C0032343
18953	C0032343
45570386	C0032343
45580342	C0032343
18753	C0032343
45556180	C0032343
18105	C0032343
18399	C0032343
18685	C0032343
45594596	C0032343
18081	C0032343
45546513	C0032343
18333	C0032343
45594709	C0032343
18665	C0032343
45551410	C0032343
18845	C0032343
18705	C0032343
45599603	C0032343
17913	C0032343
17833	C0032343
45575396	C0032343
45551212	C0032343
45580135	C0032343
45560718	C0032343
45580319	C0032343
45609062	C0032343
18945	C0032343
18893	C0032343
45546507	C0032343
17695	C0032343
18633	C0032343
45589893	C0032343
45556013	C0032343
45594602	C0032343
45546581	C0032343
45594683	C0032343
17949	C0032343
18801	C0032343
45570403	C0032343
45609201	C0032343
45560840	C0032343
45599590	C0032343
45565662	C0032343
19105	C0032343
45556090	C0032343
45594762	C0032343
45546572	C0032343
18231	C0032343
45609210	C0032343
45589806	C0032343
18869	C0032343
17803	C0032343
18369	C0032343
45551401	C0032343
45546555	C0032343
18045	C0032343
18051	C0032343
45536764	C0032343
18501	C0032343
45541542	C0032343
18761	C0032343
45609184	C0032343
45589974	C0032343
45584930	C0032343
18833	C0032343
45536916	C0032343
45575266	C0032343
17797	C0032343
19093	C0032343
17683	C0032343
45575470	C0032343
45551218	C0032343
45589933	C0032343
45589909	C0032343
45575448	C0032343
